id,company_id,billing_year,billing_month,employee_count,amount_per_employee,total_amount,payment_status,payment_date,partial_paid_amount,remaining_amount,due_date,created_date,note,loss_amount,loss_date,created_at,gs_project_id,gs_table_name,updated_at,_rid,_self,_etag,_attachments,_ts
bill_comp06_2512,comp06,2025,12,3,20000,60000,완납,,0,60000,2025-12-25,2025-12-01,손실 처리,60000,2026-01-05,1775738475837,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775738475837,pBtjAL8RWCcpra0AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCcpra0AAAAAAA==/,"""840085a5-0000-0800-0000-69d79e6b0000""",attachments/,1775738475
bill_comp06_2511,comp06,2025,11,3,20000,60000,완납,,0,60000,2025-11-25,2025-11-01,손실 처리,60000,2026-01-05,1775738475837,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775738475837,pBtjAL8RWCcora0AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCcora0AAAAAAA==/,"""840084a5-0000-0800-0000-69d79e6b0000""",attachments/,1775738475
billing-dongbang-2025-10,comp04,2025,10,5,20000,100000,일부납,,50000,50000,2025-10-25,2025-10-01,테스트 - 이월 미납금 검증용,,,1775731091294,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775731091294,pBtjAL8RWCfPi60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfPi60AAAAAAA==/,"""8400494b-0000-0800-0000-69d781930000""",attachments/,1775731091
billing-dongbang-2026-01,comp04,2026,1,5,20000,100000,일부납,,30000,70000,2026-01-25,2026-01-01,테스트 - 이월 미납금 검증용,,,1775731091294,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775731091294,pBtjAL8RWCfOi60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfOi60AAAAAAA==/,"""8400484b-0000-0800-0000-69d781930000""",attachments/,1775731091
billing-dongbang-2026-02,comp04,2026,2,5,20000,100000,미납,,0,100000,2026-02-25,2026-02-01,테스트 - 이월 미납금 검증용,,,1775731091294,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775731091294,pBtjAL8RWCfNi60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfNi60AAAAAAA==/,"""8400474b-0000-0800-0000-69d781930000""",attachments/,1775731091
billing-dongbang-2025-12,comp04,2025,12,5,20000,100000,완납,2025-12-20,100000,0,2025-12-25,2025-12-01,테스트 - 이월 미납금 검증용,,,1775731091294,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775731091294,pBtjAL8RWCfMi60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfMi60AAAAAAA==/,"""8400464b-0000-0800-0000-69d781930000""",attachments/,1775731091
billing-dongbang-2026-03,comp04,2026,3,5,20000,100000,미납,,0,100000,2026-03-25,2026-03-01,테스트 - 이월 미납금 검증용,,,1775731091294,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775731091294,pBtjAL8RWCfLi60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfLi60AAAAAAA==/,"""8400454b-0000-0800-0000-69d781930000""",attachments/,1775731091
billing-dongbang-2025-11,comp04,2025,11,5,20000,100000,미납,,0,100000,2025-11-25,2025-11-01,테스트 - 이월 미납금 검증용,,,1775731091294,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775731091294,pBtjAL8RWCfKi60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfKi60AAAAAAA==/,"""8400444b-0000-0800-0000-69d781930000""",attachments/,1775731091
b12a586b-272b-4029-bf87-f3f29b3cfb2b,comp06,2025,10,3,20000,60000,완납,2025-10-15,60000,0,2025-10-15,,2025년 10월 시스템 사용료,,,1775713262661,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775721141286,pBtjAL8RWCczR60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCczR60AAAAAAA==/,"""83005194-0000-0800-0000-69d75ab50000""",attachments/,1775721141
66fb54ae-b9eb-4425-8865-5b790137ad50,comp01,2026,4,12,20000,240000,완납,2026-04-09,240000,0,2026-04-25,,2026년 4월 시스템 사용료,,,1775712755166,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,billing,1775721142399,pBtjAL8RWCeXQ60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeXQ60AAAAAAA==/,"""83005c94-0000-0800-0000-69d75ab60000""",attachments/,1775721142
