id,insurance_type,year,period_start,period_end,rate,rate_base,cap_amount,note,created_at,gs_project_id,gs_table_name,updated_at,_rid,_self,_etag,_attachments,_ts
health_2025,health,2025,2025-01-01,2025-12-31,3.545,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdKdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdKdtgAAAAAAA==/,"""4602a855-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
health_2023,health,2023,2023-01-01,2023-12-31,3.545,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdJdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdJdtgAAAAAAA==/,"""4602a755-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
pension_2022,national_pension,2022,2022-07-01,2023-06-30,4.5,월보수액,5530000,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdIdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdIdtgAAAAAAA==/,"""4602a555-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
pension_2023,national_pension,2023,2023-07-01,2024-06-30,4.5,월보수액,5900000,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdHdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdHdtgAAAAAAA==/,"""4602a455-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
employment_2023,employment,2023,2023-01-01,2023-12-31,0.9,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdGdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdGdtgAAAAAAA==/,"""4602a355-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
employment_2024,employment,2024,2024-01-01,2024-12-31,0.9,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdFdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdFdtgAAAAAAA==/,"""4602a255-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
employment_2022,employment,2022,2022-01-01,2022-12-31,0.9,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdEdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdEdtgAAAAAAA==/,"""4602a155-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
employment_2026,employment,2026,2026-01-01,2026-12-31,0.9,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdDdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdDdtgAAAAAAA==/,"""46029f55-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
employment_2025,employment,2025,2025-01-01,2025-12-31,0.9,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdCdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdCdtgAAAAAAA==/,"""4602a055-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
ltcare_2024,long_term_care,2024,2024-01-01,2024-12-31,12.95,건강보험료,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdBdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdBdtgAAAAAAA==/,"""46029e55-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
ltcare_2025,long_term_care,2025,2025-01-01,2025-12-31,12.98,건강보험료,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCdAdtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdAdtgAAAAAAA==/,"""46029d55-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
ltcare_2026,long_term_care,2026,2026-01-01,2026-12-31,13.14,건강보험료,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCc-dtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCc-dtgAAAAAAA==/,"""46029c55-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
health_2022,health,2022,2022-01-01,2022-12-31,3.495,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCc+dtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCc+dtgAAAAAAA==/,"""46029b55-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
pension_2026,national_pension,2026,2026-07-01,2027-06-30,4.75,월보수액,6590000,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCc9dtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCc9dtgAAAAAAA==/,"""46029a55-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
ltcare_2022,long_term_care,2022,2022-01-01,2022-12-31,12.27,건강보험료,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCc8dtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCc8dtgAAAAAAA==/,"""46029955-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
pension_2025,national_pension,2025,2025-07-01,2026-06-30,4.5,월보수액,6370000,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCc7dtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCc7dtgAAAAAAA==/,"""46029855-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
health_2026,health,2026,2026-01-01,2026-12-31,3.595,월보수액,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCc6dtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCc6dtgAAAAAAA==/,"""46029455-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
ltcare_2023,long_term_care,2023,2023-01-01,2023-12-31,12.81,건강보험료,0,,1779072289831,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,insurance_rates,1779072289831,pBtjAL8RWCc5dtgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCc5dtgAAAAAAA==/,"""46029355-0000-0800-0000-6a0a7d220000""",attachments/,1779072290
